,trustee,trial,inv,mult,ret,im,trustee_clust
0,93,0,5,2,7,10,GA
1,93,1,9,2,14,18,GA
2,93,2,8,4,16,32,GA
3,93,3,5,4,10,20,GA
4,93,4,3,2,4,6,GA
5,93,5,10,2,15,20,GA
6,93,6,3,6,6,18,GA
7,93,7,9,4,18,36,GA
8,93,8,5,2,7,10,GA
9,93,9,5,6,10,30,GA
10,93,10,7,6,14,42,GA
11,93,11,5,6,10,30,GA
12,93,12,4,6,8,24,GA
13,93,13,3,2,5,6,GA
14,93,14,10,6,20,60,GA
15,93,15,6,6,12,36,GA
16,93,16,8,4,16,32,GA
17,93,17,6,6,12,36,GA
18,93,18,6,2,10,12,GA
19,93,19,4,2,6,8,GA
20,93,20,10,4,20,40,GA
21,93,21,5,2,8,10,GA
22,93,22,1,2,2,2,GA
23,93,23,5,4,10,20,GA
24,93,24,4,4,8,16,GA
25,93,25,3,4,6,12,GA
26,93,26,2,2,3,4,GA
27,93,27,3,4,6,12,GA
28,93,28,4,4,8,16,GA
29,93,29,2,2,3,4,GA
30,93,30,10,6,20,60,GA
31,93,31,10,6,20,60,GA
32,93,32,6,2,10,12,GA
33,93,33,1,6,2,6,GA
34,93,34,2,6,4,12,GA
35,93,35,5,2,7,10,GA
36,93,36,2,4,4,8,GA
37,93,37,6,2,10,12,GA
38,93,38,10,2,16,20,GA
39,93,39,4,6,8,24,GA
40,93,40,10,4,20,40,GA
41,93,41,5,4,10,20,GA
42,93,42,9,6,18,54,GA
43,93,43,8,6,16,48,GA
44,93,44,9,4,18,36,GA
45,93,45,3,4,6,12,GA
46,93,46,5,6,10,30,GA
47,93,47,8,2,12,16,GA
48,93,48,5,6,10,30,GA
49,93,49,4,6,10,24,GA
50,93,50,10,4,20,40,GA
51,93,51,3,6,6,18,GA
52,93,52,4,2,6,8,GA
53,93,53,6,4,12,24,GA
54,93,54,1,4,2,4,GA
55,93,55,7,2,10,14,GA
56,93,56,4,4,8,16,GA
57,81,0,5,2,7,10,GA
58,81,1,9,4,13,36,GA
59,81,2,7,4,12,28,GA
60,81,3,5,6,9,30,GA
61,81,4,10,2,15,20,GA
62,81,5,1,2,2,2,GA
63,81,6,2,4,4,8,GA
64,81,7,10,6,17,60,GA
65,81,8,5,6,8,30,GA
66,81,9,9,6,18,54,GA
67,81,10,1,4,2,4,GA
68,81,11,10,4,20,40,GA
69,81,12,8,6,13,48,GA
70,81,13,5,2,7,10,GA
71,81,14,4,2,6,8,GA
72,81,15,4,6,12,24,GA
73,81,16,6,2,6,12,GA
74,81,17,7,4,12,28,GA
75,81,18,5,6,8,30,GA
76,81,19,4,6,7,24,GA
77,81,20,5,4,10,20,GA
78,81,21,5,6,8,30,GA
79,81,22,4,2,5,8,GA
80,81,23,6,6,14,36,GA
81,81,24,6,2,9,12,GA
82,81,25,5,2,7,10,GA
83,81,26,9,2,14,18,GA
84,81,27,6,2,10,12,GA
85,81,28,2,4,3,8,GA
86,81,29,5,2,7,10,GA
87,81,30,1,6,2,6,GA
88,81,31,3,6,6,18,GA
89,81,32,2,2,2,4,GA
90,81,33,10,4,18,40,GA
91,81,34,2,6,4,12,GA
92,81,35,2,4,4,8,GA
93,81,36,5,4,9,20,GA
94,81,37,4,6,10,24,GA
95,81,38,2,4,6,8,GA
96,81,39,8,2,8,16,GA
97,81,40,4,4,6,16,GA
98,81,41,3,2,4,6,GA
99,81,42,10,2,7,20,GA
100,81,43,10,6,16,60,GA
101,81,44,4,4,7,16,GA
102,81,45,3,6,7,18,GA
103,81,46,10,4,20,40,GA
104,81,47,7,2,10,14,GA
105,81,48,3,2,6,6,GA
106,81,49,10,6,17,60,GA
107,81,50,5,4,8,20,GA
108,81,51,7,6,15,42,GA
109,81,52,2,2,4,4,GA
110,81,53,6,6,12,36,GA
111,81,54,3,4,6,12,GA
112,81,55,5,4,10,20,GA
113,81,56,3,4,5,12,GA
114,54,0,8,4,12,32,MO
115,54,1,6,2,1,12,MO
116,54,2,4,6,6,24,MO
117,54,3,1,6,0,6,MO
118,54,4,5,6,7,30,MO
119,54,5,10,4,13,40,MO
120,54,6,3,2,0,6,MO
121,54,7,4,6,5,24,MO
122,54,8,7,4,11,28,MO
123,54,9,9,4,13,36,MO
124,54,10,2,2,0,4,MO
125,54,11,10,2,10,20,MO
126,54,12,5,2,0,10,MO
127,54,13,7,2,3,14,MO
128,54,14,10,6,16,60,MO
129,54,15,8,6,16,48,MO
130,54,16,3,2,0,6,MO
131,54,17,10,4,15,40,MO
132,54,18,6,6,12,36,MO
133,54,19,5,4,5,20,MO
134,54,20,9,4,12,36,MO
135,54,21,7,4,11,28,MO
136,54,22,3,6,4,18,MO
137,54,23,4,6,5,24,MO
138,54,24,5,2,0,10,MO
139,54,25,5,4,7,20,MO
140,54,26,8,4,12,32,MO
141,54,27,4,2,0,8,MO
142,54,28,2,6,1,12,MO
143,54,29,6,2,3,12,MO
144,54,30,10,6,20,60,MO
145,54,31,5,6,8,30,MO
146,54,32,9,6,16,54,MO
147,54,33,6,2,0,12,MO
148,54,34,10,4,10,40,MO
149,54,35,8,2,2,16,MO
150,54,36,2,4,0,8,MO
151,54,37,10,2,4,20,MO
152,54,38,3,4,2,12,MO
153,54,39,5,6,8,30,MO
154,54,40,7,6,14,42,MO
155,54,41,4,2,0,8,MO
156,54,42,5,4,5,20,MO
157,54,43,5,2,0,10,MO
158,54,44,2,4,0,8,MO
159,54,45,3,6,3,18,MO
160,54,46,5,6,10,30,MO
161,54,47,6,6,10,36,MO
162,54,48,1,4,0,4,MO
163,54,49,10,6,20,60,MO
164,54,50,9,2,4,18,MO
165,54,51,2,2,0,4,MO
166,54,52,2,4,0,8,MO
167,54,53,4,4,4,16,MO
168,54,54,1,2,0,2,MO
169,54,55,5,2,0,10,MO
170,54,56,4,4,4,16,MO
171,92,0,9,4,11,36,MO
172,92,1,10,4,14,40,MO
173,92,2,6,6,7,36,MO
174,92,3,7,2,3,14,MO
175,92,4,4,6,5,24,MO
176,92,5,10,2,7,20,MO
177,92,6,5,6,6,30,MO
178,92,7,5,4,6,20,MO
179,92,8,1,6,0,6,MO
180,92,9,5,2,0,10,MO
181,92,10,3,4,0,12,MO
182,92,11,5,6,8,30,MO
183,92,12,4,2,0,8,MO
184,92,13,4,6,6,24,MO
185,92,14,10,6,15,60,MO
186,92,15,5,2,2,10,MO
187,92,16,5,2,0,10,MO
188,92,17,3,4,0,12,MO
189,92,18,3,6,5,18,MO
190,92,19,5,4,7,20,MO
191,92,20,4,6,6,24,MO
192,92,21,8,2,6,16,MO
193,92,22,9,2,6,18,MO
194,92,23,9,4,11,36,MO
195,92,24,1,4,0,4,MO
196,92,25,2,4,0,8,MO
197,92,26,10,6,12,60,MO
198,92,27,6,2,2,12,MO
199,92,28,6,4,8,24,MO
200,92,29,5,4,6,20,MO
201,92,30,9,6,15,54,MO
202,92,31,2,2,0,4,MO
203,92,32,6,2,4,12,MO
204,92,33,7,6,7,42,MO
205,92,34,4,2,0,8,MO
206,92,35,10,6,16,60,MO
207,92,36,6,6,7,36,MO
208,92,37,2,4,0,8,MO
209,92,38,3,2,0,6,MO
210,92,39,10,4,14,40,MO
211,92,40,3,2,0,6,MO
212,92,41,5,6,7,30,MO
213,92,42,1,2,0,2,MO
214,92,43,6,4,6,24,MO
215,92,44,2,6,2,12,MO
216,92,45,3,6,6,18,MO
217,92,46,3,4,0,12,MO
218,92,47,5,4,8,20,MO
219,92,48,5,4,7,20,MO
220,92,49,10,4,13,40,MO
221,92,50,5,2,3,10,MO
222,92,51,8,6,8,48,MO
223,92,52,6,2,0,12,MO
224,92,53,1,4,0,4,MO
225,92,54,2,2,1,4,MO
226,92,55,5,6,7,30,MO
227,92,56,10,2,7,20,MO
228,41,0,6,2,4,12,MO
229,41,1,1,4,0,4,MO
230,41,2,4,6,6,24,MO
231,41,3,5,4,8,20,MO
232,41,4,7,6,10,42,MO
233,41,5,10,6,18,60,MO
234,41,6,2,6,2,12,MO
235,41,7,2,4,0,8,MO
236,41,8,7,2,5,14,MO
237,41,9,4,4,4,16,MO
238,41,10,3,6,2,18,MO
239,41,11,5,2,4,10,MO
240,41,12,5,2,2,10,MO
241,41,13,10,2,5,20,MO
242,41,14,4,4,3,16,MO
243,41,15,5,4,7,20,MO
244,41,16,3,4,1,12,MO
245,41,17,3,2,0,6,MO
246,41,18,5,2,2,10,MO
247,41,19,6,6,8,36,MO
248,41,20,10,4,12,40,MO
249,41,21,5,2,2,10,MO
250,41,22,6,6,10,36,MO
251,41,23,8,2,6,16,MO
252,41,24,10,2,3,20,MO
253,41,25,10,6,15,60,MO
254,41,26,4,6,8,24,MO
255,41,27,6,4,8,24,MO
256,41,28,10,4,16,40,MO
257,41,29,5,6,10,30,MO
258,41,30,5,6,6,30,MO
259,41,31,2,4,0,8,MO
260,41,32,4,6,6,24,MO
261,41,33,8,6,10,48,MO
262,41,34,2,2,1,4,MO
263,41,35,7,4,9,28,MO
264,41,36,3,2,0,6,MO
265,41,37,3,4,1,12,MO
266,41,38,4,2,0,8,MO
267,41,39,1,4,0,4,MO
268,41,40,9,6,19,54,MO
269,41,41,5,6,8,30,MO
270,41,42,8,4,13,32,MO
271,41,43,10,4,15,40,MO
272,41,44,2,2,0,4,MO
273,41,45,6,2,1,12,MO
274,41,46,4,2,1,8,MO
275,41,47,1,2,0,2,MO
276,41,48,3,6,2,18,MO
277,41,49,5,4,7,20,MO
278,41,50,4,4,4,16,MO
279,41,51,6,2,5,12,MO
280,41,52,10,6,18,60,MO
281,41,53,1,6,0,6,MO
282,41,54,8,4,9,32,MO
283,41,55,5,6,10,30,MO
284,41,56,9,2,2,18,MO
285,4,0,5,4,6,20,IA
286,4,1,4,2,3,8,IA
287,4,2,2,4,0,8,IA
288,4,3,6,2,4,12,IA
289,4,4,10,2,10,20,IA
290,4,5,10,4,20,40,IA
291,4,6,1,6,1,6,IA
292,4,7,9,4,14,36,IA
293,4,8,7,6,18,42,IA
294,4,9,5,2,3,10,IA
295,4,10,5,6,10,30,IA
296,4,11,3,2,1,6,IA
297,4,12,10,6,25,60,IA
298,4,13,9,6,13,54,IA
299,4,14,3,4,2,12,IA
300,4,15,2,4,0,8,IA
301,4,16,5,2,2,10,IA
302,4,17,1,4,0,4,IA
303,4,18,5,6,10,30,IA
304,4,19,10,6,26,60,IA
305,4,20,5,2,2,10,IA
306,4,21,9,4,19,36,IA
307,4,22,5,6,10,30,IA
308,4,23,5,4,6,20,IA
309,4,24,3,4,2,12,IA
310,4,25,4,6,4,24,IA
311,4,26,10,2,10,20,IA
312,4,27,8,2,5,16,IA
313,4,28,2,2,0,4,IA
314,4,29,4,6,4,24,IA
315,4,30,6,4,8,24,IA
316,4,31,6,6,11,36,IA
317,4,32,3,2,0,6,IA
318,4,33,10,4,20,40,IA
319,4,34,6,6,14,36,IA
320,4,35,3,4,3,12,IA
321,4,36,2,4,1,8,IA
322,4,37,1,2,0,2,IA
323,4,38,4,4,4,16,IA
324,4,39,3,6,6,18,IA
325,4,40,5,6,12,30,IA
326,4,41,2,6,1,12,IA
327,4,42,4,2,1,8,IA
328,4,43,6,2,4,12,IA
329,4,44,3,6,1,18,IA
330,4,45,3,4,0,12,IA
331,4,46,9,2,7,18,IA
332,4,47,10,6,31,60,IA
333,4,48,7,2,5,14,IA
334,4,49,8,6,18,48,IA
335,4,50,8,4,14,32,IA
336,4,51,2,2,0,4,IA
337,4,52,5,4,7,20,IA
338,4,53,5,2,5,10,IA
339,4,54,2,4,1,8,IA
340,4,55,6,2,4,12,IA
341,4,56,4,6,4,24,IA
342,83,0,1,4,0,4,GR
343,83,1,5,6,0,30,GR
344,83,2,10,4,0,40,GR
345,83,3,2,2,0,4,GR
346,83,4,6,4,0,24,GR
347,83,5,9,4,0,36,GR
348,83,6,10,2,0,20,GR
349,83,7,9,6,0,54,GR
350,83,8,6,6,0,36,GR
351,83,9,3,4,0,12,GR
352,83,10,4,6,0,24,GR
353,83,11,10,4,0,40,GR
354,83,12,8,2,0,16,GR
355,83,13,4,4,0,16,GR
356,83,14,1,6,0,6,GR
357,83,15,5,4,0,20,GR
358,83,16,10,2,0,20,GR
359,83,17,6,4,0,24,GR
360,83,18,6,6,0,36,GR
361,83,19,3,6,0,18,GR
362,83,20,2,4,0,8,GR
363,83,21,2,4,0,8,GR
364,83,22,2,6,0,12,GR
365,83,23,5,2,0,10,GR
366,83,24,8,6,0,48,GR
367,83,25,9,4,0,36,GR
368,83,26,10,6,0,60,GR
369,83,27,9,2,0,18,GR
370,83,28,10,6,0,60,GR
371,83,29,5,2,0,10,GR
372,83,30,3,6,0,18,GR
373,83,31,6,2,0,12,GR
374,83,32,4,6,0,24,GR
375,83,33,5,4,0,20,GR
376,83,34,10,4,0,40,GR
377,83,35,3,2,0,6,GR
378,83,36,1,2,0,2,GR
379,83,37,6,2,0,12,GR
380,83,38,2,4,0,8,GR
381,83,39,10,4,0,40,GR
382,83,40,3,2,0,6,GR
383,83,41,2,4,0,8,GR
384,83,42,6,2,0,12,GR
385,83,43,5,2,0,10,GR
386,83,44,5,2,0,10,GR
387,83,45,9,4,0,36,GR
388,83,46,4,2,0,8,GR
389,83,47,7,2,0,14,GR
390,83,48,5,6,0,30,GR
391,83,49,4,2,0,8,GR
392,83,50,4,6,0,24,GR
393,83,51,8,4,0,32,GR
394,83,52,5,6,0,30,GR
395,83,53,10,6,0,60,GR
396,83,54,7,6,0,42,GR
397,83,55,5,6,0,30,GR
398,83,56,2,2,0,4,GR
399,100,0,5,6,8,30,GA
400,100,1,3,6,4,18,GA
401,100,2,3,6,4,18,GA
402,100,3,9,6,25,54,GA
403,100,4,1,6,1,6,GA
404,100,5,5,4,9,20,GA
405,100,6,6,2,8,12,GA
406,100,7,1,4,1,4,GA
407,100,8,5,4,8,20,GA
408,100,9,2,6,3,12,GA
409,100,10,7,2,10,14,GA
410,100,11,3,4,4,12,GA
411,100,12,5,4,8,20,GA
412,100,13,7,4,13,28,GA
413,100,14,6,2,9,12,GA
414,100,15,2,4,3,8,GA
415,100,16,10,6,20,60,GA
416,100,17,4,2,5,8,GA
417,100,18,9,2,15,18,GA
418,100,19,4,4,7,16,GA
419,100,20,9,4,19,36,GA
420,100,21,5,2,6,10,GA
421,100,22,5,6,9,30,GA
422,100,23,7,6,20,42,GA
423,100,24,5,2,8,10,GA
424,100,25,10,2,12,20,GA
425,100,26,4,6,6,24,GA
426,100,27,2,2,4,4,GA
427,100,28,10,6,30,60,GA
428,100,29,2,4,3,8,GA
429,100,30,8,4,12,32,GA
430,100,31,5,6,8,30,GA
431,100,32,3,2,4,6,GA
432,100,33,5,2,6,10,GA
433,100,34,6,2,8,12,GA
434,100,35,9,4,19,36,GA
435,100,36,2,2,2,4,GA
436,100,37,5,4,8,20,GA
437,100,38,4,4,6,16,GA
438,100,39,8,2,12,16,GA
439,100,40,6,4,11,24,GA
440,100,41,10,2,15,20,GA
441,100,42,4,6,6,24,GA
442,100,43,3,2,4,6,GA
443,100,44,6,6,11,36,GA
444,100,45,4,2,5,8,GA
445,100,46,10,6,20,60,GA
446,100,47,5,2,6,10,GA
447,100,48,6,6,11,36,GA
448,100,49,5,6,8,30,GA
449,100,50,8,6,22,48,GA
450,100,51,8,4,16,32,GA
451,100,52,6,4,12,24,GA
452,100,53,4,6,6,24,GA
453,100,54,10,4,20,40,GA
454,100,55,1,2,2,2,GA
455,100,56,3,4,4,12,GA
456,62,0,10,4,4,40,GR
457,62,1,10,2,0,20,GR
458,62,2,6,4,2,24,GR
459,62,3,3,6,0,18,GR
460,62,4,5,2,0,10,GR
461,62,5,5,4,0,20,GR
462,62,6,5,4,0,20,GR
463,62,7,8,6,0,48,GR
464,62,8,10,6,13,60,GR
465,62,9,4,4,0,16,GR
466,62,10,3,4,0,12,GR
467,62,11,9,4,6,36,GR
468,62,12,8,2,0,16,GR
469,62,13,4,6,4,24,GR
470,62,14,6,6,6,36,GR
471,62,15,5,2,0,10,GR
472,62,16,3,4,0,12,GR
473,62,17,5,6,0,30,GR
474,62,18,2,2,0,4,GR
475,62,19,5,2,0,10,GR
476,62,20,8,4,2,32,GR
477,62,21,10,4,10,40,GR
478,62,22,5,4,0,20,GR
479,62,23,2,6,0,12,GR
480,62,24,5,2,0,10,GR
481,62,25,1,6,0,6,GR
482,62,26,10,6,8,60,GR
483,62,27,1,4,0,4,GR
484,62,28,3,2,0,6,GR
485,62,29,4,2,0,8,GR
486,62,30,10,4,0,40,GR
487,62,31,10,6,12,60,GR
488,62,32,2,2,0,4,GR
489,62,33,3,2,0,6,GR
490,62,34,1,2,0,2,GR
491,62,35,6,2,0,12,GR
492,62,36,6,2,0,12,GR
493,62,37,3,6,2,18,GR
494,62,38,4,6,4,24,GR
495,62,39,10,2,3,20,GR
496,62,40,4,2,0,8,GR
497,62,41,6,2,0,12,GR
498,62,42,5,6,0,30,GR
499,62,43,5,6,0,30,GR
500,62,44,4,6,3,24,GR
501,62,45,7,2,0,14,GR
502,62,46,6,6,6,36,GR
503,62,47,7,4,3,28,GR
504,62,48,6,4,4,24,GR
505,62,49,7,4,0,28,GR
506,62,50,9,6,0,54,GR
507,62,51,2,4,0,8,GR
508,62,52,5,6,6,30,GR
509,62,53,9,2,0,18,GR
510,62,54,7,6,0,42,GR
511,62,55,1,4,0,4,GR
512,62,56,2,4,0,8,GR
513,32,0,5,6,0,30,MO
514,32,1,2,4,0,8,MO
515,32,2,1,2,0,2,MO
516,32,3,6,2,4,12,MO
517,32,4,1,6,0,6,MO
518,32,5,5,2,0,10,MO
519,32,6,8,6,11,48,MO
520,32,7,8,4,0,32,MO
521,32,8,3,4,5,12,MO
522,32,9,3,4,1,12,MO
523,32,10,10,4,12,40,MO
524,32,11,2,2,0,4,MO
525,32,12,3,4,11,12,MO
526,32,13,6,2,0,12,MO
527,32,14,8,4,23,32,MO
528,32,15,1,4,0,4,MO
529,32,16,10,6,29,60,MO
530,32,17,4,2,2,8,MO
531,32,18,6,4,24,24,MO
532,32,19,4,6,9,24,MO
533,32,20,10,4,12,40,MO
534,32,21,9,4,26,36,MO
535,32,22,3,6,5,18,MO
536,32,23,6,6,19,36,MO
537,32,24,5,6,4,30,MO
538,32,25,6,2,0,12,MO
539,32,26,2,2,0,4,MO
540,32,27,10,2,7,20,MO
541,32,28,5,6,5,30,MO
542,32,29,4,4,13,16,MO
543,32,30,2,4,0,8,MO
544,32,31,5,4,5,20,MO
545,32,32,5,2,1,10,MO
546,32,33,6,6,10,36,MO
547,32,34,5,2,1,10,MO
548,32,35,10,4,25,40,MO
549,32,36,8,2,5,16,MO
550,32,37,9,6,17,54,MO
551,32,38,9,2,4,18,MO
552,32,39,10,2,1,20,MO
553,32,40,7,2,1,14,MO
554,32,41,7,6,0,42,MO
555,32,42,4,6,13,24,MO
556,32,43,3,2,0,6,MO
557,32,44,5,2,4,10,MO
558,32,45,5,4,0,20,MO
559,32,46,6,4,22,24,MO
560,32,47,5,4,6,20,MO
561,32,48,3,2,2,6,MO
562,32,49,4,2,0,8,MO
563,32,50,4,6,2,24,MO
564,32,51,2,4,0,8,MO
565,32,52,2,6,6,12,MO
566,32,53,10,6,4,60,MO
567,32,54,10,6,35,60,MO
568,32,55,3,6,3,18,MO
569,32,56,5,6,17,30,MO
570,56,0,6,4,12,24,GA
571,56,1,6,2,12,12,GA
572,56,2,10,2,20,20,GA
